product_name,category,brand,unit,reference_price,city
Milk 1 Liter,Dairy,Olper's,1 Liter,250,Islamabad
Milk 1 Liter,Dairy,Milkpak,1 Liter,270,Islamabad
Bread 800g,Bakery,Dawn,800g,220,Islamabad
Eggs 12 Pack,Dairy,Various,12 Eggs,360,Islamabad
Sugar 1kg,Grocery,Various,1 kg,180,Islamabad
Flour 10kg,Grocery,Various,10 kg,1250,Islamabad
Rice 1kg,Grocery,Super Kernel,1 kg,420,Islamabad
Cooking Oil 1 Liter,Grocery,Dalda,1 Liter,560,Islamabad
Tea 190g,Beverages,Tapal,190g,480,Islamabad
Tea 190g,Beverages,Lipton,190g,500,Islamabad
Salt 800g,Grocery,Namak,800g,80,Islamabad
Lentils 1kg,Grocery,Various,1 kg,380,Islamabad
Red Chilli Powder 200g,Spices,National,200g,230,Islamabad
Turmeric Powder 200g,Spices,National,200g,170,Islamabad
Biscuit Pack 100g,Snacks,Sooper,100g,70,Islamabad
Chocolate 60g,Snacks,Various,60g,180,Islamabad
Mineral Water 1.5L,Beverages,Aquafina,1.5 Liter,100,Islamabad
Soft Drink 1.5L,Beverages,Pepsi,1.5 Liter,180,Islamabad
Shampoo 400ml,Personal Care,Sunsilk,400ml,650,Islamabad
Toothpaste 100g,Personal Care,Colgate,100g,250,Islamabad
Bath Soap 100g,Personal Care,Lux,100g,180,Islamabad
Washing Powder 1kg,Household,Surf Excel,1 kg,420,Islamabad
Dishwashing Liquid 500ml,Household,Max,500ml,300,Islamabad
Tissue Box,Household,Various,1 Box,250,Islamabad
Hand Wash 250ml,Personal Care,Dettol,250ml,350,Islamabad
